author,title,funding,citations,date,link
"Lamola, MJ","The future of artificial intelligence, posthumanism and the inflection of Pixley Isaka Seme's African humanism",National Research Foundation of South Africa(National Research Foundation - South Africa),1,2022,http://dx.doi.org/10.1007/s00146-021-01191-3
"Ezugwu, AE",Enhanced symbiotic organisms search algorithm for unrelated parallel machines manufacturing scheduling with setup times,,44,2019,http://dx.doi.org/10.1016/j.knosys.2019.02.005
"Northover, M",Karl Popper's critical rationalism in agile software development,,1,2006,
"Boake, A",Karl Popper's critical rationalism in agile software development,,1,2006,
"Kourie, DG",Karl Popper's critical rationalism in agile software development,,1,2006,
"Van der Merwe, FJ",Compressed pseudo-lattices,,5,2002,http://dx.doi.org/10.1080/09528130210164215
"Kourie, DG",Compressed pseudo-lattices,,5,2002,http://dx.doi.org/10.1080/09528130210164215
"Olabanji, OM",Fusing Multi-Attribute Decision Models for Decision Making to Achieve Optimal Product Design,,1,2020,http://dx.doi.org/10.2478/fcds-2020-0016
"Mpofu, K",Fusing Multi-Attribute Decision Models for Decision Making to Achieve Optimal Product Design,,1,2020,http://dx.doi.org/10.2478/fcds-2020-0016
"Watt, N",Towards robot vision using deep neural networks in evolutionary robotics,National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa),1,2022,http://dx.doi.org/10.1007/s12065-020-00490-w
"du Plessis, MC",Towards robot vision using deep neural networks in evolutionary robotics,National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa),1,2022,http://dx.doi.org/10.1007/s12065-020-00490-w
"Zvarevashe, K",Recognition of speech emotion using custom 2D-convolution neural network deep learning algorithm,Durban University of Technology through the ICT and Society Research Group,9,2020,http://dx.doi.org/10.3233/IDA-194747
"Olugbara, OO",Recognition of speech emotion using custom 2D-convolution neural network deep learning algorithm,Durban University of Technology through the ICT and Society Research Group,9,2020,http://dx.doi.org/10.3233/IDA-194747
"Hager, L",Adaptive Neural network control of a helicopter system with optimal observer and actor-critic design,National Research Foundation of South Africa(National Research Foundation - South Africa); NRF,9,2018,http://dx.doi.org/10.1016/j.neucom.2018.04.004
"Uren, KR",Adaptive Neural network control of a helicopter system with optimal observer and actor-critic design,National Research Foundation of South Africa(National Research Foundation - South Africa); NRF,9,2018,http://dx.doi.org/10.1016/j.neucom.2018.04.004
"van Schoor, G",Adaptive Neural network control of a helicopter system with optimal observer and actor-critic design,National Research Foundation of South Africa(National Research Foundation - South Africa); NRF,9,2018,http://dx.doi.org/10.1016/j.neucom.2018.04.004
"van Rensburg, AJ",Adaptive Neural network control of a helicopter system with optimal observer and actor-critic design,National Research Foundation of South Africa(National Research Foundation - South Africa); NRF,9,2018,http://dx.doi.org/10.1016/j.neucom.2018.04.004
"Cui, YH",Probabilistic DEAR models,South African National Research Foundation(National Research Foundation - South Africa); University of Cape Town Postgraduate,3,2013,http://dx.doi.org/10.1007/s13042-012-0104-x
"Guo, RK",Probabilistic DEAR models,South African National Research Foundation(National Research Foundation - South Africa); University of Cape Town Postgraduate,3,2013,http://dx.doi.org/10.1007/s13042-012-0104-x
"Guo, DN",Probabilistic DEAR models,South African National Research Foundation(National Research Foundation - South Africa); University of Cape Town Postgraduate,3,2013,http://dx.doi.org/10.1007/s13042-012-0104-x
"Ezugwu, AE",Advanced discrete firefly algorithm with adaptive mutation-based neighborhood search for scheduling unrelated parallel machines with sequence-dependent setup times,,2,2022,http://dx.doi.org/10.1002/int.22733
"van der Westhuizen, E",Synthesised bigrams using word embeddings for code-switched ASR of four South African language pairs,Nvidia Corporation; Telkom South Africa; Department of Arts and Culture of South Africa,5,2019,http://dx.doi.org/10.1016/j.csl.2018.10.002
"Niesler, TR",Synthesised bigrams using word embeddings for code-switched ASR of four South African language pairs,Nvidia Corporation; Telkom South Africa; Department of Arts and Culture of South Africa,5,2019,http://dx.doi.org/10.1016/j.csl.2018.10.002
"Twala, B",Predicting incomplete gene microarray data with the use of supervised learning algorithms,"Council of Scientific and Industrial Research, Modelling and Digital Sciences(Council of Scientific & Industrial Research (CSIR) - India)",9,2010,http://dx.doi.org/10.1016/j.patrec.2010.05.006
"Phorah, M",Predicting incomplete gene microarray data with the use of supervised learning algorithms,"Council of Scientific and Industrial Research, Modelling and Digital Sciences(Council of Scientific & Industrial Research (CSIR) - India)",9,2010,http://dx.doi.org/10.1016/j.patrec.2010.05.006
"Wild, M",On the idempotency and co-idempotency of the morphological center,,6,2001,http://dx.doi.org/10.1142/S0218001401001374
"BARNARD, E",A COMPARATIVE-STUDY OF OPTIMIZATION TECHNIQUES FOR BACKPROPAGATION,,8,1994,http://dx.doi.org/10.1016/0925-2312(94)90031-0
"HOLM, JEW",A COMPARATIVE-STUDY OF OPTIMIZATION TECHNIQUES FOR BACKPROPAGATION,,8,1994,http://dx.doi.org/10.1016/0925-2312(94)90031-0
"Olukanmi, P",Rethinkingk-means clustering in the age of massive datasets: a constant-time approach,"Global Excellence and Stature Scholarship Fund of the University of Johannesburg, South Africa",6,2020,http://dx.doi.org/10.1007/s00521-019-04673-0
"Nelwamondo, F",Rethinkingk-means clustering in the age of massive datasets: a constant-time approach,"Global Excellence and Stature Scholarship Fund of the University of Johannesburg, South Africa",6,2020,http://dx.doi.org/10.1007/s00521-019-04673-0
"Marwala, T",Rethinkingk-means clustering in the age of massive datasets: a constant-time approach,"Global Excellence and Stature Scholarship Fund of the University of Johannesburg, South Africa",6,2020,http://dx.doi.org/10.1007/s00521-019-04673-0
"Chikamai, K",Mammogram content-based image retrieval based on malignancy classification,,0,2017,http://dx.doi.org/10.3233/IDA-163101
"Viriri, S",Mammogram content-based image retrieval based on malignancy classification,,0,2017,http://dx.doi.org/10.3233/IDA-163101
"Tapamo, JR",Mammogram content-based image retrieval based on malignancy classification,,0,2017,http://dx.doi.org/10.3233/IDA-163101
"Luhandjula, MK",A Monte Carlo simulation based approach for stochastic semi-infinite mathematical programming problems,,1,2007,http://dx.doi.org/10.1142/S0218488507004662
"Serutla, L",Sentence analysis using a concept lattice,,1,1998,
"Kourie, D",Sentence analysis using a concept lattice,,1,1998,
"Brink, AD",Using spatial information as an aid to maximum entropy image threshold selection,,44,1996,http://dx.doi.org/10.1016/0167-8655(95)00096-8
"Telemala, JP",Exploring Topic-language Preferences in Multilingual Swahili Information Retrieval in Tanzania,Hasso-Plattner Institute for Digital Engineering - National Research Foundation (NRF) of South Africa; University of Cape Town,0,2021,http://dx.doi.org/10.1145/3458671
"Suleman, H",Exploring Topic-language Preferences in Multilingual Swahili Information Retrieval in Tanzania,Hasso-Plattner Institute for Digital Engineering - National Research Foundation (NRF) of South Africa; University of Cape Town,0,2021,http://dx.doi.org/10.1145/3458671
